city,lat,lng,admin_name,population,population_proper
Ina,35.8275,137.9539,Nagano,66641,66641
Hashima,35.3167,136.7,Gifu,66573,66573
Kitamoto,36.0269,139.53,Saitama,65478,65478
Kurihara,38.7303,141.0214,Miyagi,65313,65313
Tamana,32.9281,130.5597,Kumamoto,64966,64966
Tsuruga,35.6372,136.0806,Fukui,64474,64474
Asahi,35.7203,140.6467,Chiba,64302,64302
Fujiidera,34.5747,135.5975,Ōsaka,63814,63814
Tomigusuku,26.1772,127.6811,Okinawa,63700,63700
Fujioka,36.2667,139.0667,Gunma,63556,63556
Nago,26.5917,127.9775,Okinawa,62725,62725
Tendō,38.3622,140.3783,Yamagata,62032,62032
Shiroi,35.7917,140.0564,Chiba,61931,61931
Tsushima,35.1833,136.7333,Aichi,61732,61732
Ogōshi,32.8858,130.7897,Kumamoto,61531,61531
Hasuda,35.9942,139.6622,Saitama,61507,61507
Aisai,35.15,136.7333,Aichi,61234,61234
Ōwada,40.6128,141.2058,Aomori,61058,61058
Hashimoto,34.3167,135.6,Wakayama,60885,60885
Itoman,26.1236,127.6658,Okinawa,60546,60546
Tahara,34.6414,137.1831,Aichi,60378,60378
Chichibu,35.9917,139.0856,Saitama,60303,60303
Shirakawa,37.1264,140.2108,Fukushima,59730,59730
Jōsō,36.0236,139.9939,Ibaraki,59647,59647
Date,37.8189,140.5631,Fukushima,59441,59441
Shimotsuke,36.3872,139.8422,Tochigi,59370,59370
Kokawa,34.2697,135.3625,Wakayama,59208,59208
Choshi,35.7347,140.8267,Chiba,59165,59165
Koga,33.7333,130.4667,Fukuoka,59111,59111
Sayama,34.5036,135.5556,Ōsaka,58746,58746
Tōgane,35.56,140.3661,Chiba,58686,58686
Koja,26.3643,127.8328,Okinawa,58658,58658
Kosai,34.7186,137.5317,Shizuoka,58423,58423
Ishikari,43.1783,141.3067,Hokkaidō,58277,58277
Murakami,38.2239,139.4801,Niigata,58096,58096
Tokoname,34.8833,136.8333,Aichi,57814,57814
Tama,34.4919,133.9458,Okayama,57631,57631
Fussa,35.7386,139.3267,Tōkyō,57527,57527
Kan’onjichō,34.1283,133.6628,Kagawa,57333,57333
Minokamo,35.4333,137.0167,Gifu,56804,56804
Kudamatsu,34.015,131.8703,Yamaguchi,56634,56634
Mukōchō,34.9486,135.6983,Kyōto,56415,56415
Toki,35.3525,137.1833,Gifu,56133,56133
Narutochō-mitsuishi,34.1667,134.6167,Tokushima,56007,56007
Nōgata,33.7439,130.7297,Fukuoka,55937,55937
Annaka,36.3264,138.8872,Gunma,55578,55578
Chino,35.9956,138.1589,Nagano,55531,55531
Hidaka,35.9078,139.3392,Saitama,55241,55241
Sakurai,34.5189,135.8519,Nara,55005,55005
Hamura,35.7672,139.3111,Tōkyō,54874,54874
Mutsu,41.2931,141.1831,Aomori,54721,54721
Hanyū,36.1728,139.5486,Saitama,53870,53870
Minami-Sōma,37.6422,140.9572,Fukushima,53643,53643
Funato,34.2564,135.3111,Wakayama,53566,53566
Imarichō-kō,33.2647,129.8808,Saga,53483,53483
Miyako,39.6414,141.9572,Iwate,52471,52471
Shiraoka,36.0189,139.6769,Saitama,52094,52094
Bandō,36.0483,139.8889,Ibaraki,51903,51903
Tomiya,38.4,140.8953,Miyagi,51889,51889
Arao,32.9867,130.4333,Kumamoto,51325,51325
Sakaidechō,34.3164,133.8606,Kagawa,51196,51196
Nichinan,31.6019,131.3789,Miyazaki,51106,51106
Miyoshi,34.8058,132.8517,Hiroshima,51049,51049
Tsukubamirai,35.9631,140.0372,Ibaraki,50870,50870
Noshiromachi,40.2122,140.0267,Akita,50842,50842
Yūki,36.3053,139.8775,Ibaraki,50817,50817
Satte,36.0781,139.7258,Saitama,50767,50767
Tōkamachi,37.1275,138.7557,Niigata,50754,50754
Yasu,35.0675,136.0258,Shiga,50432,50432
Tomisato,35.7267,140.3431,Chiba,49868,49868
Yamaga,33.0167,130.6914,Kumamoto,49783,49783
Suzaka,36.6511,138.3069,Nagano,49734,49734
Hikari,33.9617,131.9422,Yamaguchi,49686,49686
Sanmu,35.6028,140.4136,Chiba,49300,49300
Nomimachi,36.4375,136.4961,Ishikawa,49200,49200
Omitama,36.2394,140.3525,Ibaraki,49200,49200
Shimotsuchō-kominami,34.1556,135.2092,Wakayama,48846,48846
Ena,35.4494,137.4128,Gifu,48777,48777
Hitachi-ota,36.5383,140.5311,Ibaraki,48758,48758
Suwa,36.0392,138.1142,Nagano,48695,48695
Takahama,34.9276,136.9877,Aichi,48561,48561
Suzukawa,35.3731,139.3842,Kanagawa,48379,48379
Gosen,37.75,139.1833,Niigata,48360,48360
Ishigaki,24.3333,124.15,Okinawa,48132,48132
Tonami,36.65,136.9667,Toyama,48116,48116
Takeochō-takeo,33.1939,130.0192,Saga,48011,48011
Higashine,38.4314,140.3911,Yamagata,47920,47920
Iwakura,35.2833,136.8667,Aichi,47839,47839
Noboribetsu,42.4128,141.1067,Hokkaidō,47795,47795
Ami,36.0308,140.215,Ibaraki,47755,47755
Tomioka,36.26,138.89,Gunma,47648,47648
Kasuga,33.6108,130.4806,Fukuoka,47554,47554
Kikugawa,34.7578,138.0842,Shizuoka,47547,47547
Takashima,35.3528,136.0356,Shiga,47124,47124
Kasaoka,34.5072,133.5072,Okayama,47097,47097
Nakai,33.5756,133.6414,Kōchi,46951,46951
Kurayoshi,35.43,133.8256,Tottori,46943,46943
Shima,34.3283,136.8306,Mie,46937,46937
Tamagawa,33.6317,130.7997,Fukuoka,46611,46611
Hokota,36.1586,140.5164,Ibaraki,46415,46415
Kariya,34.7889,134.3724,Hyōgo,46347,46347
Hokuto,41.8242,140.6531,Hokkaidō,46054,46054
Shimeo,33.5914,130.4797,Fukuoka,45918,45918
Inabe,35.1158,136.5614,Mie,45454,45454
Hagi,34.4078,131.3989,Yamaguchi,45435,45435
Tateyama,34.9967,139.87,Chiba,45300,45300
Masuda,34.675,131.8428,Shimane,45291,45291
Inuma,36,139.6239,Saitama,44977,44977
Himi,36.85,136.9833,Toyama,44874,44874
Shinshiro,34.9,137.5,Aichi,44713,44713
Otofuke,42.9942,143.1981,Hokkaidō,44377,44377
Sugito,36.0256,139.7367,Saitama,44202,44202
Makinohara,34.74,138.2247,Shizuoka,44111,44111
Kobayashi,31.9967,130.9728,Miyazaki,44034,44034
Ogimachi,33.2506,130.2017,Saga,43617,43617
Shimabara,32.7756,130.3381,Nagasaki,43553,43553
Futtsu,35.3042,139.8569,Chiba,43213,43213
Taketoyo,34.8514,136.915,Aichi,43113,43113
Yuzawa,39.1644,140.4958,Akita,42887,42887
Nakano,36.7419,138.3694,Nagano,42390,42390
Kitaibaraki,36.8019,140.7511,Ibaraki,42122,42122
Shimo-tsuma,36.1844,139.9675,Ibaraki,41964,41964
Nanbei,35.3206,139.1,Kanagawa,41814,41814
Obita,32.8253,129.875,Nagasaki,41630,41630
Itoigawa,37.0333,137.85,Niigata,41325,41325
Ōzu,33.5064,132.5447,Ehime,41201,41201
Kasumigaura,36.1519,140.2372,Ibaraki,40833,40833
Sasayama,35.0758,135.2192,Hyōgo,40708,40708
Komono,35.02,136.5075,Mie,40487,40487
Kurobeshin,36.8667,137.45,Toyama,40231,40231
Sagae,38.3811,140.2761,Yamagata,40185,40185
Nakama,33.8167,130.709,Fukuoka,40003,40003
Takikawa,43.5578,141.9106,Hokkaidō,39960,39960
Hitachiomiya,36.5517,140.4119,Ibaraki,39904,39904
Inashiki,35.9567,140.3239,Ibaraki,39854,39854
Gishi,26.1911,127.7286,Okinawa,39835,39835
Sakuragawa,36.3272,140.0906,Ibaraki,39692,39692
Gujō,35.7486,136.9644,Gifu,39582,39582
Mibu,36.4272,139.8039,Tochigi,39454,39454
Aizawa,35.5289,139.3217,Kanagawa,39381,39381
Ibara,34.5978,133.4639,Okayama,39172,39172
Nishiwaki,34.9933,134.9694,Hyōgo,39147,39147
Higashimatsushima,38.4264,141.2106,Miyagi,39138,39138
Misawa,40.6833,141.3689,Aomori,38877,38877
Miyoshidai,35.8283,139.5267,Saitama,38393,38393
Fuchūchō,34.5683,133.2364,Hiroshima,37874,37874
Maibara,35.3153,136.2839,Shiga,37850,37850
Umi,33.5678,130.5111,Fukuoka,37609,37609
Yasugichō,35.4317,133.2508,Shimane,37581,37581
Mizunami,35.3619,137.2544,Gifu,37164,37164
Kanie,35.1322,136.7869,Aichi,37048,37048
Katsuragi,34.4892,135.7267,Nara,37004,37004
Kannan,35.0894,138.9453,Shizuoka,36908,36908
Tsubata,36.6686,136.7283,Ishikawa,36774,36774
Komatsushimachō,34.0047,134.5906,Tokushima,36689,36689
Usuki,33.1258,131.8047,Ōita,36536,36536
